Search Keyword,Search Location,Company Name,Company Website,Industry,Company Size,Job Title,Job Location,Job Type,Posted Date,Job Description Summary,LinkedIn Profile,URL
1099 contractor jobs,Minnesota,Chivo Moves LLC,,Shipping & Trucking,,Box Truck Driver $$$NO CDL REQUIRED$$$ 1099 Independent Contractor,"Minneapolis, MN 55406","PART_TIME, CONTRACTOR, FULL_TIME",12/10/2024 15:05,"About us
Chivo Moves LLC is a professional, fast-paced, and growing freight expediting business. Our goal is to provide timely and professional freight expediting services throughout the Midwest.
Our work environment includes:
Growth opportunities
Casual work attire
Flexible working hours
Chivo Moves LLC is looking for professional and responsible Drivers to work local and over the road cargo freight deliveries. The ideal candidate will have a standard-issue Class D driver's license, and reasonably clean DMV Report. NO CDL required. We're seeking responsible drivers who are capable of making cargo freight deliveries in an efficient manner, as well as complying with all local and federal laws while adhering to the company's safety standards.
This is a position with immediate growth opportunity. Availability is very flexible. Training provided. No heavy lifting. Must love to travel!
Responsibilities:
Drives vehicle safely and efficiently.
Delivers on-time, every-time.
Strap/Unstrap Freight.
Use a pallet jack.
Follows instruction.
Smart phone/GPS access.
Drives at day/night.
Drives in all types of weather.
Job Types: Full-time, Part-time, Contract
Pay: From $225.00 per day
Expected hours: 30 – 60 per week
Benefits:
Company truck
Flexible schedule
Fuel card
Mileage reimbursement
Pet rider program
Shift:
Day shift
Evening shift
Morning shift
Night shift
Work Days:
Monday to Friday
Work Location: On the road",https://www.indeed.com/cmp/Chivo-Moves-LLC,https://www.indeed.com/viewjob?jk=54e1a11edfc129e4
Freelance opportunities,Minnesota,Karaman Language Solutions,,,,Spanish Interpreter/Translator,"Fort Snelling, MN","CONTRACTOR, OTHER, PART_TIME",10/25/2024 16:47,"Job Summary
We are seeking a skilled and dedicated Spanish Interpreter to facilitate communication between Spanish-speaking individuals and English-speaking counterparts in the Department of Justice Immigration Courts. The ideal candidate will possess strong linguistic abilities and a passion for bridging language barriers in legal settings. This role requires proficiency in interpreting and translating spoken language while maintaining accuracy and cultural sensitivity.
Duties
Interpret conversations between Spanish-speaking clients and English-speaking professionals in real-time.
Translate written documents, ensuring that the meaning is preserved accurately across languages.
Communicate effectively with clients to understand their needs and provide appropriate support.
Maintain confidentiality of all interpreted information and adhere to ethical standards of practice.
Assist in the development of bilingual materials as needed to enhance communication efforts.
Stay updated on relevant terminology in both languages, including specialized vocabulary related to specific fields such as healthcare or law.
Collaborate with other interpreters and professionals to ensure seamless communication during meetings or appointments.
Qualifications
Bilingual proficiency in Spanish and English is required; additional languages are a plus (Multilingual).
Strong interpretive skills with the ability to convey messages accurately and clearly.
Background or education in Linguistics or related fields is preferred.
Experience with American Sign Language is advantageous but not mandatory.
Excellent communication skills, both verbal and written, with a focus on cultural sensitivity.
Ability to work independently as well as part of a team in diverse environments.
Previous experience in interpretation or translation roles is highly desirable.
We invite qualified candidates who are passionate about language services to apply for this rewarding opportunity.
Job Types: Part-time, Contract, Freelance
Pay: $35.00 - $60.00 per hour
Expected hours: 3 – 40 per week
Benefits:
Flexible schedule
Referral program
Work from home
Schedule:
Choose your own hours
Day shift
Monday to Friday
No weekends
Ability to Relocate:
Fort Snelling, MN: Relocate before starting work (Required)
Work Location: In person",https://www.indeed.com/cmp/Karaman-Language-Solutions,https://www.indeed.com/viewjob?jk=bc6a3b57ff8222b2
Freelance opportunities,Minnesota,Cineminn Media Co,http://www.cineminn.com,Real Estate,less than 10,Freelance Real Estate Photography,"Minneapolis-Saint Paul, MN",CONTRACTOR,10/18/2024 8:12,"Photographers & videographers with real estate/architectural experience, and the right equipment to shoot freelance assignments for us on an ongoing basis. We offer education and certification and handle everything so you can keep shooting. Our studio handles all the image post-processing, sales, and delivery. You just do what you do best – compose amazing photos!!
Basic requirements:
· DSLR/Mirrorless camera (at least 18 megapixels)
· Wide angle lens (at least 16mm on a full-frame & 10mm on a cropped sensor)
· Sturdy tripod
· Reliable vehicle
· These assignments are freelance, independent contractor positions, so you should be comfortable with managing your own schedule and juggling commitments.
Requirements for additional work:
FAA-certified + HD drone
Gimbal + a camera that can shoot 4K 60fps
360 camera (Theta z1 or comparable)
How it works:
· Apply, test, and become a part of our Cineminn Media Network
· Orders are “dispatched” to you from our studio headquarters
· Accept job assignments
· Shoot on your own time within 3 business days
· Get paid!!
Sound like a fit?
APPLY TO JOIN THE CINEMINN MEDIA TALENT NETWORK:
For consideration, send your portfolio to our company email (which can be found on cineminn.com) with the subject line, "" Apply | Portfolio 2024"" and a brief message about yourself, your gear, as well as past real estate marketing experience.
Thanks for your time and have an amazing day!
Julian | Owner
Job Type: Contract
Pay: $25.00 - $80.00 per hour
Expected hours: 20 per week
Benefits:
Flexible schedule
Professional development assistance
Compensation Package:
Bonus opportunities
Schedule:
Choose your own hours
Application Question(s):
Do you have reliable transportation for the shoots?
Do you have a camera with at least 24 megapixels?
Do you have a 16mm lens (or equivalent if using a crop-sensor camera body) ?
Experience:
Real Estate Photography: 1 year (Required)
License/Certification:
Driver's License (Required)
Work Location: On the road",https://www.indeed.com/cmp/Cineminn-Media-Co,https://www.indeed.com/viewjob?jk=875d68825f320a89
Contract employment listings,Minnesota,DECC,,,,Custodial Services,"350 Harbor Dr, Duluth, MN 55802","PART_TIME, CONTRACTOR",10/18/2024 22:28,"Title
Custodial Services
**The ideal candidate will have weekday availability
Hourly Wage
Starting at $16.00 with 3 & 6 month increases
Annual increases following the current union contract.
Position Summary
Custodial Services ensures that the DECC facility is looking its best for conventions, sporting events, and concerts. DECC custodians assist with event setup and tear down when needed and maintain the cleanliness of the building while events are taking place.
Requirement and Competencies
Responds quickly to requests for service and assistance
Completes tasks thoroughly and efficiently
Uses equipment and materials properly
Ability to work independently and as a team and maintain a positive attitude
Ability to move quickly throughout the complex when an event(s) is located in multiple areas of the building
Ability to adapt to frequent changes, delays, or unexpected events
Ensures a high level of customer service
Excellent organizational and time management skills
There are no minimum education requirements for this position
Preferred Education and Experience
High school diploma or general education degree (GED)
General cleaning experience
Job Duties
(Reasonable accommodations may be made for individuals with disabilities.)
Ensure that the building maintains a high level of cleanliness for its many events
Operate floor scrubbers, floor sweepers, and other cleaning equipment
Monitor bathrooms and garbage during conventions, sporting events, and concerts
Respond quickly to requests for additional room sets and tasks
Assist with convention setup and other duties as assigned
Supervisory Responsibilities
None
Work Environment
Building Services employees are frequently exposed to various conditions including hot, cold, outdoor, indoor, wet and/or humid conditions. They are exposed to moving mechanical parts, chemicals, cleaners, equipment, and tools. The noise level in the work environment varies from quiet to extremely loud, around machinery, crowds, and concerts. The pace varies and Building Services needs to adapt quickly.
Physical Demands
This position requires walking and standing for long periods of time, and the ability to move quickly to different places. They need to use their hands frequently, and be able to see, hear, and speak often. They may be required to work at high heights, climb, crawl, or work in awkward or cramped positions. This position will often require stooping, kneeling, crouching, crawling, squatting, bending, and maneuvering. They must regularly lift and/or move up to 25 pounds, frequently lift and/or move up to 50 pounds, and occasionally lift and/or move up to 100 pounds.
Travel Required
No
Schedule
This position is part-time with a schedule based on DECC event needs.
Uniform
The DECC will provide uniforms as determined by the current labor agreement.
Additional Eligibility Requirements
Must be 18 years of age or older.
Successful completion of reference checks
Successful completion of a background check
Successful completion of a drug test, if applicable
Work Authorization/Security Clearance Requirements
The DECC uses USCIS Form I-9 to verify the identity and employment authorization of individuals hired for employment. On the form, an employee must attest to his or her employment authorization. The employee is required to present the DECC with acceptable documents evidencing identity and employment authorization at the time of hire. The DECC will examine the employment eligibility and identity document(s).
The list of acceptable documents can be provided by Human Resources.
Collective Bargaining Agreement
Please refer to the current Hourly Labor agreement between the Duluth Entertainment Convention Center (DECC) and the International Union of Operating Engineers, Local No. 70, AFL-CIO. The current agreement can be found at www.iuoe70.org
EEO Statement
The DECC is an Equal Opportunity Employer. In order to provide equal employment and advancement opportunities to all individuals, employment decisions will be based on merit, qualification and ability. The DECC does not discriminate in employment practices on the basis of age, color, disability, national origin, race, religion, sex, sexual orientation or any other characteristic protected by law. The DECC will follow any state or local law that provides greater protection. This policy is neither exhaustive nor exclusive. The DECC is committed to taking all other actions necessary to ensure equal employment opportunity for persons with disabilities in accordance with the ADA and all other applicable laws.
Other Duties
Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job.
Duties, responsibilities and activities may change at any time with or without notice.
FLSA Classification
Non-Exempt
Type of Position
Part-Time, Event-Driven
Type of Employment
Collective Bargaining Agreement
Department
Building Services
Reports to
Director of Building Services
Benefits:
Free parking
Employee wellbeing initiatives
Monthly bus pass bus reimbursement program
Public Employee Retirement Account (PERA) Pension Plan with employer match
Optional Minnesota Deferred Compensation Plan
Free Employee Assistance Program
Paid Time Off
More benefit details here:
Benefits HERE
What is the DECC?
The Duluth Entertainment Convention Center (DECC) is a collection of ten venues hosting conventions, meetings, sports, arts, and entertainment right on the waters of Lake Superior in vibrant Canal Park. The DECC offers spectacular views of the Duluth Aerial Lift Bridge and excellent walkability.
Steps away from charming Canal Park and Downtown Duluth, guests enjoy shops, restaurants, and easy access to hotels. The Duluth Lakewalk and Bayfront Festival Park are just outside our doors.
Home to Duluth Superior Symphony Orchestra, the Minnesota Ballet, UMD Mens and Womens Bulldog Hockey, the Olympic gold-winning Duluth Curling Club, and the
William A. Irvin
floating museum / Duluth Haunted Ship, the DECC is the heart of regional entertainment.
Our commitment to sustainability means that all the events we host bring economic and environmental benefits to our city.
Mission:
We host events, create experiences, and drive our regional economy.
Values:
Hospitality
Entertainment
Community
Visionary
Stewardship",https://www.indeed.com/cmp/Decc,https://www.indeed.com/viewjob?jk=7e63085610ea945c
Freelance opportunities,Minnesota,Paint the Town LLC,https://www.paintthetown.com/,"Arts, Entertainment & Recreation",,Fun Paint Party Instructor Gig in Minneapolis!,"Minneapolis, MN",CONTRACTOR,10/3/2024 18:13,"Paint the Town is a mobile paint party company offering social and team building events. Check out our site here! https://paintthetown.com
We are hiring a fun painting instructor to lead ""painting parties""!
Please note this is a gig based position.
This is a great side hustle that’s easy to balance with other part-time jobs, freelancing, or school!
You'll have fun sharing your passion for art and meeting different people! Our engagements are intimate (typically 10-20 guests, but we sometimes have larger events), and our customers are friendly and respectful.
If this sounds like a good fit for you, please apply through the link below:
https://www.paintthetown.com/internal/new-artist-application/?candidatesource=Indeed
REQUIREMENTS:
- Need a car and valid license, to drive to events and transport art supplies
- At least 2 weekdays free between Tuesday and Friday from 1-7 PM + occasional weekends
- Proficient with using acrylic paints. Preferably a Fine Arts student, but self taught is also accepted. You will need to submit painting samples or a portfolio
- Be reliable and responsive. You MUST be punctual and a self starter
- Outgoing people person, handle stressful situations with grace
Job Type: Contract
Pay: From $35.00 per hour
Benefits:
Flexible schedule
Compensation Package:
Bonus opportunities
Tips
Experience:
Teaching: 1 year (Preferred)
Work Location: On the road",https://www.indeed.com/cmp/Paint-the-Town-LLC,https://www.indeed.com/viewjob?jk=b78952f3e839dfbe
Freelance opportunities,Minnesota,Orca Creative Team,http://www.orcacreatives.com,Media & Communication,11 to 50,Wedding Photographer,"Minneapolis, MN",CONTRACTOR,12/9/2024 19:33,"Company Overview:
Orca Creative Team is a diverse network of wedding photographers and videographers in Minneapolis area. Our team of freelancers captures weddings, engagements and elopements for couples across the state of Minnesota. We're creatives with a passion for photography, video production, filmmaking, and storytelling. We'd love to tell you more about our team! Orca Creative Team is one of the largest and highest-rated wedding photo and video studios in the country. Visit our website at orcacreatives.com to learn more!
FREELANCE PHOTOGRAPHER IN MINNEAPOLIS, MN.
We're hiring experienced photographers to join the Orca Creative Team in Minneapolis. You'll primarily photograph weddings and engagement sessions. We'll handle all the admin, culling and editing. All you need to do is show up and capture beautiful images!
Main Responsibilities as a Freelance Photographer:
Photograph weddings, engagement sessions and elopements throughout the Minneapolis area
Provide outstanding customer service to engaged couples.
Document weddings with a photojournalistic approach to photography.
Help couples pose during engagement sessions and weddings so they feel confident and look flattering in their photographs.
Manage your availability calendar so you can accept freelance photography assignments.
Deliver high-quality RAW photographs and images.
Act as a freelancer, and independent contractor, to represent the Orca Creative Team.
Freelance Photographer Requirements:
Experience as a wedding photographer with at least ten (10) weddings as lead photographer.
Seasoned photographer with understanding of natural light, posing and off-camera flash.
Equipment Requirement to be a Freelance Wedding Photographer:
Two (2) Full Frame Cameras with Dual Memory Card Slots
Variety of Prime and Zoom Lens with f/2.8 or lower covering multiple focal ranges
On and Off Camera Flash or Lighting Equipment
Freelance ASSISTANT Photographer Requirements:
One (1) mirrorless cameras with dual memory card slots
Prime lenses with large apertures, f/1.2 – f/1.8
Zoom lenses with aperture of 2.8
Benefits:
You'll love being a member of the Orca Creative Team! Our freelance photographers and videographers focus on their craft, while the administrative staff handles the rest.
Choose your own schedule.
You decide when to accept new freelance photography assignments.
Competitive pay and generous bonuses.
NO culling.
NO editing.
Bi-Weekly mentoring and coaching sessions.
Application Process:
To apply, please submit your resume and portfolio detailing your experience, qualifications, and why you’re passionate about joining our team. We are especially interested in learning more about why you love weddings!
We look forward to reviewing your application, kickstarting the interview process and potentially welcoming you to our team!
Job Type: Contract
Pay: $45.00 - $75.00 per hour
Expected hours: 1 – 20 per week
Benefits:
Flexible schedule
Compensation Package:
Bonus opportunities
Tips
Schedule:
Weekends as needed
Application Question(s):
Link to recent wedding gallery of at least 500 images:
Link to Photography Business website:
How many weddings have you shot as a LEAD photographer?
Experience:
Photography: 4 years (Required)
Wedding: 2 years (Required)
Ability to Relocate:
Minneapolis, MN: Relocate before starting work (Required)
Willingness to travel:
75% (Preferred)
Work Location: In person",https://www.indeed.com/cmp/Orca-Creative-Team,https://www.indeed.com/viewjob?jk=c6996ac9f96526ec
Contract employment listings,Minnesota,Shutterfly,http://www.shutterflyinc.com,Internet & Web Services,"5,001 to 10,000",Compensation Analyst (Contractor),"11000 Viking Drive, Eden Prairie, MN 55344",CONTRACTOR,11/27/2024 8:17,"At Shutterfly, we make life’s experiences unforgettable. We believe there is extraordinary power in the self-expression. That’s why our family of brands helps customers create products and capture moments that reflect who they uniquely are.
This is an interim contract role to support the team for the first part of 2025.
Annual Compensation Cycle Support:
Configuration Support for Compensation Planning Tool (SAP SuccessFactors)
Prepare data files, review and audit eligibility, and develop required reports
Review and update the eligibility matrix for different compensation programs (Merit, Incentive, LTIP)
Troubleshoot eligibility issues and partner with HRIS to resolve any discrepancies
User Acceptance Testing (UAT) Management
Validate HRBP access to the sandbox environment
Coordinate and guide testing sessions with HRBPs
Document findings and troubleshoot issues
Compensation Cycle Administration
Perform daily updates and audit data within the comp tool while the cycle is open
Create and maintain a tracker for exclusions and inclusions
Serve as a tier 1 resource for HRBP questions related to programs, eligibility, and the tool, escalating as needed
Comp Tool Closure, Audit, and Reporting
Assist with the closing of the comp tool, reviewing pay changes for irregularities and coordinating with HRBPs for clarification
Create pay change import files for Payroll, SAP, and E*Trade for new LTIP grants
LTIP Vesting & Payout Administration
Administer the LTIP vesting and payout process, including creating and auditing import files
Partner with HR Ops to develop and execute mail merges for employee communication
Post-Compensation Cycle Support:
Market Analysis for Lifetouch Host Locations
Scope
: ~210 locations
Roles Reviewed
: Photographer, Photo Assistant, Photo Supervisor, CSR
Market Analysis for Lifetouch Studio Locations
Scope
: ~360 locations
Roles Reviewed
: Core Photographer
Supporting a diverse and inclusive workforce is important to Shutterfly not only because it directly reflects our value of Embracing our Differences, but also because it’s the right thing to do for our business and for our people. We welcome all applicants and evaluate them based on their qualifications, without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, or other characteristic covered by law. Learn more about our commitment to Diversity, Equity, and Inclusion on our Career Site.
This position will accept applications on an ongoing basis until filled.
#SFLYCorporate",https://www.indeed.com/cmp/Shutterfly,https://www.indeed.com/viewjob?jk=739e04287d09868f
Contract employment listings,Minnesota,Le Sueur-Henderson Public Schools,,Education,,Payroll Specialist,"901 Ferry St, Le Sueur, MN 56058",CONTRACTOR,12/3/2024 20:02,"JobID: 3796
Position Type:
Administration
Date Posted:
12/3/2024
Location:
DISTRICT WIDE
Date Available:
January 2025
Closing Date:
until filled
District:
Le Sueur-Henderson School District
Payroll Specialist
Contract Reference
:
Non-Licensed
Category
:
Individual Contract
Immediate Supervisor
:
Superintendent
Job Summary
:
Perform detailed accounting-related tasks which require an understanding of general and fund accounting – specifically UFARS. Independent accounting work involves the processing of position placement and personnel transactions in the payroll department.
Duties:
Daily
Resolve all employee questions regarding payroll issues or discrepancies and interpretations of policies and contracts
Add new employees, remove terminated employees, update status changes, leaves, insurance data, and 403(b) changes
Maintain an accurate and current filing system
Assist employees in troubleshooting the Employee Self Service system to access their personal information online
Follow data privacy, HIPPA, labor laws and school policies regarding payroll, and personnel requirements
Semi-Monthly
Collect, verify and code all employee timesheets to appropriate UFARS accounts
Enter all employee timesheet information into the payroll system for processing
Update time off records in the time off system
Calculate pay deductions for overused leave
Calculate and process all taxes, tax shelters, garnishments and other payroll deductions
Verify salary and contract employees to current payroll
Report all necessary payroll data for TRA, PERA, IRS, ACH, and Minnesota Department of Revenue and third party insurance vendors
Monthly
Print and code sub listing report for payroll processing on the 15th of the month
Reconcile employee benefits and payroll withholdings
Invoice Cobra Recipients
Quarterly
Prepare and submit quarterly IRS, Minnesota Department of Revenue, and Minnesota Unemployment Reports
Attend payroll meetings hosted by Region V
Less Frequently
Calculate and place certified staff on the proper step; issue memos detailing step placement and salary when necessary
Update employee records on manual and computer files
Issue W-2 statements to district personnel and file applicable reports
Prepare and submit annual IRS, PERA, TRA, ACA and Minnesota Department of Revenue reports
Assist with year-end closing and audit as needed
Monitor performance of contracts
Issue 1095 statements and file applicable reports
Issue wage statements to employees
Monitor hours worked by staff and offer health insurance according to ACA regulations
Invoice for sub costs when needed
Perform other duties as assigned
Authority/Decisions
Determine proper accounting procedures and workload priorities. Generate memos pertaining to personnel/payroll
Work with school staff to establish and maintain a positive relations program between the staff and administration
Make decisions regarding interpretations of school policies
Help administer the master contract and other agreements of employment
Contacts:
Daily contact with administration, secretarial staff, and district employees with questions on payroll items.
Minimal contact with students
Contact the auditor
Contact with various departments: MDE, TRA, FICA, and PERA
Contact other school district Payroll Specialists/Business Managers as needed
Contact with Region V employees
Working Conditions:
Normal working conditions
Equipment Operation:
Calculator
Computer
Internet
Postage Machine
Copier
Fax
Qualifications:
Excellent mathematical, organizational, and communication skills.
Ability to maintain efficiency, accuracy, and confidentiality under all conditions.
Ability to carry out complex written and oral instructions.
